"Sex","Model_name","Parameter","rhat","ess_bulk"
"Female","m2_FootBreadth.Eth","b[1]",1.00034818047472,12845.292868883
"Female","m2_FootBreadth.Eth","b[2]",1.00004317195179,15794.5534987695
"Female","m2_FootBreadth.Eth","b[3]",1.0001557366266,13880.4085825392
"Female","m2_FootBreadth.Eth","b[4]",0.999870535601954,15097.2837118787
"Female","m2_FootBreadth.Eth","b[5]",1.00017036661593,15109.74530673
"Female","m2_HandLength.Eth","x[1]",1.00007511677292,11910.0836948061
"Female","m2_HandLength.Eth","x[2]",1.00051392262256,14212.2392353211
"Female","m2_HandLength.Eth","x[3]",1.00012879578304,14056.5449180438
"Female","m2_HandLength.Eth","x[4]",1.00031474722314,12625.4598186226
"Female","m2_HandLength.Eth","x[5]",1.00046157078236,13335.1483084785
"Female","m2_HandLength.Eth","z[1]",1.00052076739967,8376.5623470515
"Female","m2_HandLength.Eth","z[2]",1.00007356343053,11481.0564675497
"Female","m2_HandLength.Eth","z[3]",1.00054217976424,15215.526170985
"Female","m2_HandLength.Eth","z[4]",1.00028913814537,10063.9347366567
"Female","m2_HandLength.Eth","z[5]",1.00021095717096,17307.4474256472
"Female","m2_HandLength.Eth","a",1.00038624088601,7437.50702216381
"Female","m2_HandLength.Eth","sigma_b",1.00024305102812,5285.19292301085
"Female","m2_HandLength.Eth","sigma_y",1.0003816480822,4866.72020492513
"Female","m2_HandLength.Eth","sigma",0.999919948714131,15889.5653734283
"Female","m2_HandLength.Eth","y[1]",1.00023353292873,7679.57563203595
"Female","m2_HandLength.Eth","y[2]",1.00009356094704,7736.51104569334
"Female","m2_HandLength.Eth","y[3]",1.00024189888331,15158.6738230734
"Female","m2_HandLength.Eth","y[4]",1.00001024612841,9362.24804803665
"Female","m2_HandLength.Eth","y[5]",1.00026302775105,15982.6773969417
"Female","m2_HandLength.Eth","b[1]",1.00017376572205,10369.1742196516
"Female","m2_HandLength.Eth","b[2]",1.00012074563918,14487.7190476287
"Female","m2_HandLength.Eth","b[3]",1.00009429343133,13120.5355466661
"Female","m2_HandLength.Eth","b[4]",1.00021844705335,10077.8136814906
"Female","m2_HandLength.Eth","b[5]",0.999952566041625,11016.6897075519
"Female","m2_HandBreadth.Eth","x[1]",1.00015916085757,10950.4204268757
"Female","m2_HandBreadth.Eth","x[2]",1.00025247665398,15554.0721510655
"Female","m2_HandBreadth.Eth","x[3]",1.00000327838744,13213.6065323443
