"ID","Sport","Group","Model2_data","Cohort","Code","Age","Sex","Ethnicity","IAAF","Grade_IRCRA","Exp_yrs","Hrs_Sport","Hrs_Other","Hrs_Total","Other_List","Mass","Stature","SitHeight","ArmSpan","Tibia","TibiaHeight","ForearmL","ForeHand","Biacrom","Biiliac","ForearmC","Triceps","X2D","X4D","HandLength","HandBreadth","FootLength","FootBreadth","Leg","Arm","Humerus","Femur","Finger","PC1"
"AR-015","Run","RunM","No","Non-elite","Rn/m",21,"Male","White",371,NA,1,2,3,5,"Football",79.1,198.75,105,196.25,43.85,52.2,30.7,50.6,40.1,28.45,26.9,7.25,7.57,7.95,19.1,8.5,27.3,10.1,93.75,78.08,27.48,41.55,7.76,5.98005193536037
"AX-037","Control","ControlM","Yes",NA,"X/m",22,"Male","Asian",NA,NA,NA,NA,2,2,"Run",52.7,178,88,182,42.4,50.2,30.65,49.5,36.4,24.65,22.65,11.05,7.47,7.41,18.8,7.6,23,9.2,90,72.8,23.3,39.8,7.44,1.27379386963629
"AX-041","Control","ControlM","Yes",NA,"X/m",25,"Male","White",NA,NA,NA,NA,4,4,"Run, Gym",74.4,183.5,98.75,176.75,38.85,47.25,28.55,47,40.1,29.55,26.4,15.9,7.21,7.13,17.4,8.2,23.9,9.6,84.75,68.33,21.33,37.5,7.17,1.72684093944209
"AX-038","Control","ControlM","Yes",NA,"X/m",28,"Male","White",NA,NA,NA,NA,7,7,"Row, Run, Cycle",70,181,94,177.25,41.55,49.2,28.65,47.35,39.4,31.6,25.5,8.3,6.77,7.26,18.1,7.9,22.7,8.9,87,68.93,21.58,37.8,7.02,1.70645323108601
"AX-039","Control","ControlF","Yes",NA,"X/f",24,"Female","White",NA,NA,NA,NA,12,12,"Netball, Volleyball",68,179.25,95,175,38.6,46.2,26.9,45.85,39.4,30,23.6,17,6.71,6.99,17.7,7.5,23.5,8.5,84.25,67.8,21.95,38.05,6.85,0.665843192091832
"AR-016","Run","RunF","No","Non-elite","Rn/f",25,"Female","White",573,NA,15,6,4,10,"Cycle",52,171.25,89.5,169.25,38.9,46,26.5,44.55,35.7,29,21.25,10.25,6.8,6.93,16.4,7.1,22.7,8.6,81.75,66.78,22.23,35.75,6.87,-1.32077764941137
"AC-013","Climb","ClimbF","Yes","Elite","Ce/f",25,"Female","White",NA,21.5,3,8,10,18,"Cycle, Row, Run",61.6,166.5,89.25,165.5,36.1,43.6,25.3,42.2,37.25,26.45,26.1,14.25,6.35,6.48,15.8,7.3,21.5,8.8,77.25,64.13,21.93,33.65,6.42,-3.06444987783824
"AR-017","Run","RunF","No","Non-elite","Rn/f",61,"Female","White",358,NA,25,9,5,14,"Cycle, Gym, Swim",52,170.5,88.5,168.75,37.85,45.5,26.75,45.7,36.55,28.2,23.4,6.95,6.31,6.99,17.6,8,21.9,8.5,82,66.1,20.4,36.5,6.65,-1.47579685565724
"AR-018","Run","RunF","No","Non-elite","Rn/f",46,"Female","White",324,NA,16,5,2,7,"Cycle, Swim, Yoga, Gym",58.7,165.5,88,164.5,37.05,44.05,26.3,44.5,35.65,28.35,23.55,17.8,6.27,6.56,16.3,6.6,23.1,8.4,77.5,64.43,19.93,33.45,6.42,-2.42621285120707
"AR-019","Run","RunM","No","Non-elite","Rn/m",48,"Male","White",217,NA,10,2,2,4,"Cycle, Football",80.2,186.75,99.5,190.5,41.8,50.8,29.65,50.35,41.4,30.9,27.5,5.75,7.91,8.24,20.7,8.7,24.7,10.3,87.25,74.55,24.2,36.45,8.08,4.97850071971471
