"proportion_id","focal","control","sex","dataset","sport1","sport2","comparison","p_same_sign","p_tradeoff","sport1_mean","sport2_mean"
"Femur","Femur","absolute","M","m2","climb","sprint","climb_vs_sprint",0.66025,0.33975,-0.0779734828676697,-0.0212005870593054
"Femur.Stature","Femur","Stature","F","m2","climb","run","climb_vs_run",0.7188125,0.2811875,0.0868567269183197,0.18849985598448
"Femur.Stature","Femur","Stature","F","m2","climb","walk","climb_vs_walk",0.674,0.326,0.0868567269183197,0.0653984932472433
"Femur.Stature","Femur","Stature","F","m2","climb","sprint","climb_vs_sprint",0.58575,0.41425,0.0868567269183197,-0.0291461624905313
"Femur.Stature","Femur","Stature","M","m2","climb","run","climb_vs_run",0.9266875,0.0733125,0.280643873080731,0.42692072398951
"Femur.Stature","Femur","Stature","M","m2","climb","walk","climb_vs_walk",0.925375,0.074625,0.280643873080731,0.524675545252715
"Femur.Stature","Femur","Stature","M","m2","climb","sprint","climb_vs_sprint",0.6121875,0.3878125,0.280643873080731,0.0382297809983344
"Tibia","Tibia","absolute","F","m2","climb","run","climb_vs_run",0.617875,0.382125,0.00736477955735146,-0.0615718382216548
"Tibia","Tibia","absolute","F","m2","climb","walk","climb_vs_walk",0.5825,0.4175,0.00736477955735146,0.279959379903076
"Tibia","Tibia","absolute","F","m2","climb","sprint","climb_vs_sprint",0.5795,0.4205,0.00736477955735146,0.291257144847465
"Tibia","Tibia","absolute","M","m2","climb","run","climb_vs_run",0.69625,0.30375,-0.1720596884959,-0.0748251785612093
"Tibia","Tibia","absolute","M","m2","climb","walk","climb_vs_walk",0.6343125,0.3656875,-0.1720596884959,-0.0304504443894021
"Tibia","Tibia","absolute","M","m2","climb","sprint","climb_vs_sprint",0.5088125,0.4911875,-0.1720596884959,0.0807480523732942
"Tibia.Stature","Tibia","Stature","F","m2","climb","run","climb_vs_run",0.6031875,0.3968125,0.0263018243059936,-0.0440944469210876
"Tibia.Stature","Tibia","Stature","F","m2","climb","walk","climb_vs_walk",0.648875,0.351125,0.0263018243059936,0.0613798437316887
"Tibia.Stature","Tibia","Stature","F","m2","climb","sprint","climb_vs_sprint",0.642875,0.357125,0.0263018243059936,0.103897166584967
"Tibia.Stature","Tibia","Stature","M","m2","climb","run","climb_vs_run",0.75225,0.24775,0.0805765808637648,0.150168881818748
"Tibia.Stature","Tibia","Stature","M","m2","climb","walk","climb_vs_walk",0.7380625,0.2619375,0.0805765808637648,0.129872638645936
"Tibia.Stature","Tibia","Stature","M","m2","climb","sprint","climb_vs_sprint",0.731,0.269,0.0805765808637648,0.110242798034622
"Tibia.Femur","Tibia","Femur","F","m2","climb","run","climb_vs_run",0.668625,0.331375,-0.0912242557553524,-0.305887426124721
"Tibia.Femur","Tibia","Femur","F","m2","climb","walk","climb_vs_walk",0.500375,0.499625,-0.0912242557553524,0.147179015445262
"Tibia.Femur","Tibia","Femur","F","m2","climb","sprint","climb_vs_sprint",0.389125,0.610875,-0.0912242557553524,0.338442532548096
"Tibia.Femur","Tibia","Femur","M","m2","climb","run","climb_vs_run",0.76775,0.23225,-0.138024049986668,-0.117797482706311
"Tibia.Femur","Tibia","Femur","M","m2","climb","walk","climb_vs_walk",0.7708125,0.2291875,-0.138024049986668,-0.168401497604041
"Tibia.Femur","Tibia","Femur","M","m2","climb","sprint","climb_vs_sprint",0.3483125,0.6516875,-0.138024049986668,0.15777685579247
"Arm","Arm","absolute","F","m2","climb","run","climb_vs_run",0.71225,0.28775,0.113694169649813,0.155025074877463
"Arm","Arm","absolute","F","m2","climb","walk","climb_vs_walk",0.71925,0.28075,0.113694169649813,0.193499034155367
"Arm","Arm","absolute","F","m2","climb","sprint","climb_vs_sprint",0.7161875,0.2838125,0.113694169649813,0.209014659472951
"Arm","Arm","absolute","M","m2","climb","run","climb_vs_run",0.6495625,0.3504375,0.0369525726630841,-0.00568805549663032
"Arm","Arm","absolute","M","m2","climb","walk","climb_vs_walk",0.6453125,0.3546875,0.0369525726630841,-0.0107775707577975
"Arm","Arm","absolute","M","m2","climb","sprint","climb_vs_sprint",0.6645,0.3355,0.0369525726630841,0.0674824947892708
"Arm.Stature","Arm","Stature","F","m2","climb","run","climb_vs_run",0.8519375,0.1480625,0.179348399863516,0.22765904852805
"Arm.Stature","Arm","Stature","F","m2","climb","walk","climb_vs_walk",0.7215,0.2785,0.179348399863516,0.0739994236310323
"Arm.Stature","Arm","Stature","F","m2","climb","sprint","climb_vs_sprint",0.797875,0.202125,0.179348399863516,0.130631629431724
"Arm.Stature","Arm","Stature","M","m2","climb","run","climb_vs_run",0.9789375,0.0210625,0.570853822863071,0.383054933173205
"Arm.Stature","Arm","Stature","M","m2","climb","walk","climb_vs_walk",0.8685625,0.1314375,0.570853822863071,0.223714098813043
"Arm.Stature","Arm","Stature","M","m2","climb","sprint","climb_vs_sprint",0.9306875,0.0693125,0.570853822863071,0.26005797709405
"Arm.Leg","Arm","Leg","F","m2","climb","run","climb_vs_run",0.7365,0.2635,0.0774030962412489,0.105487594715359
"Arm.Leg","Arm","Leg","F","m2","climb","walk","climb_vs_walk",0.720375,0.279625,0.0774030962412489,0.0779611576791437
"Arm.Leg","Arm","Leg","F","m2","climb","sprint","climb_vs_sprint",0.7290625,0.2709375,0.0774030962412489,0.0986394740701329
"Arm.Leg","Arm","Leg","M","m2","climb","run","climb_vs_run",0.7418125,0.2581875,0.281493544852056,0.0907084086294863
"Arm.Leg","Arm","Leg","M","m2","climb","walk","climb_vs_walk",0.538875,0.461125,0.281493544852056,-0.00195380456495569
"Arm.Leg","Arm","Leg","M","m2","climb","sprint","climb_vs_sprint",0.8875625,0.1124375,0.281493544852056,0.203603140887468
"Humerus","Humerus","absolute","F","m2","climb","run","climb_vs_run",0.6805625,0.3194375,0.0761646512232133,0.0689638335970151
"Humerus","Humerus","absolute","F","m2","climb","walk","climb_vs_walk",0.686375,0.313625,0.0761646512232133,0.128067480594518
"Humerus","Humerus","absolute","F","m2","climb","sprint","climb_vs_sprint",0.686875,0.313125,0.0761646512232133,0.0951441322652704
"Humerus","Humerus","absolute","M","m2","climb","run","climb_vs_run",0.657375,0.342625,0.0618449611912891,0.0227724570799571
"Humerus","Humerus","absolute","M","m2","climb","walk","climb_vs_walk",0.6669375,0.3330625,0.0618449611912891,0.0449483415897415
"Humerus","Humerus","absolute","M","m2","climb","sprint","climb_vs_sprint",0.6733125,0.3266875,0.0618449611912891,0.0365736289297982
"Humerus.Stature","Humerus","Stature","F","m2","climb","run","climb_vs_run",0.6790625,0.3209375,0.0705473258532809,0.0611160075393341
"Humerus.Stature","Humerus","Stature","F","m2","climb","walk","climb_vs_walk",0.6575625,0.3424375,0.0705473258532809,0.0313099262403313
"Humerus.Stature","Humerus","Stature","F","m2","climb","sprint","climb_vs_sprint",0.6599375,0.3400625,0.0705473258532809,0.0331068441328915
"Humerus.Stature","Humerus","Stature","M","m2","climb","run","climb_vs_run",0.8509375,0.1490625,0.320876068770978,0.208083879477987
"Humerus.Stature","Humerus","Stature","M","m2","climb","walk","climb_vs_walk",0.82775,0.17225,0.320876068770978,0.212292307864978
"Humerus.Stature","Humerus","Stature","M","m2","climb","sprint","climb_vs_sprint",0.8079375,0.1920625,0.320876068770978,0.159225778924159
"Humerus.Femur","Humerus","Femur","F","m2","climb","run","climb_vs_run",0.637875,0.362125,0.0475608485319099,0.003508631640781
"Humerus.Femur","Humerus","Femur","F","m2","climb","walk","climb_vs_walk",0.6635625,0.3364375,0.0475608485319099,0.0496520851157832
"Humerus.Femur","Humerus","Femur","F","m2","climb","sprint","climb_vs_sprint",0.6686875,0.3313125,0.0475608485319099,0.0656261382488026
"Humerus.Femur","Humerus","Femur","M","m2","climb","run","climb_vs_run",0.64825,0.35175,0.134427399747818,0.0278337194676934
"Humerus.Femur","Humerus","Femur","M","m2","climb","walk","climb_vs_walk",0.635625,0.364375,0.134427399747818,0.0206864667516332
