"Extraction_name","Model_name","Parameter1","Parameter1_index","Parameter2","Parameter2_index","Comparison_type","mean","sd","ci_lower_89","ci_upper_89","ci_lower_95","ci_upper_95","prob_positive","n_samples"
"m1_Finger___ClimbM.ClimbF","m1_Finger","b",4,"b",3,"difference",0.0775384584040998,0.219150596200323,-0.272661361845,0.42614346475,-0.352930323,0.506991594775,0.6349375,16000
"m1_Finger.Eth___ClimbM.ClimbF","m1_Finger.Eth","b",4,"b",3,"difference",0.0519554052751802,0.216802353234067,-0.292475616025,0.401677051385,-0.371782488225,0.4829120919,0.595375,16000
"m1_Finger.Stature___ClimbM.ClimbF","m1_Finger.Stature","b",4,"b",3,"difference",0.101141229516437,0.22461912234474,-0.256282194175,0.4591778265,-0.33695946495,0.53634467625,0.6704375,16000
"m1_Finger.Stature.Eth___ClimbM.ClimbF","m1_Finger.Stature.Eth","b",4,"b",3,"difference",0.0762132094635552,0.215795667554952,-0.263262392235,0.423273443535,-0.3459771089,0.4971003014,0.635875,16000
"m1_Finger.HandLength___ClimbM.ClimbF","m1_Finger.HandLength","b",4,"b",3,"difference",0.0733756301133693,0.223420686242302,-0.28579462876,0.43111084315,-0.3624625655,0.514776696,0.629,16000
"m1_Finger.HandLength.Eth___ClimbM.ClimbF","m1_Finger.HandLength.Eth","b",4,"b",3,"difference",0.0504778674042763,0.216865629812176,-0.30023294075,0.3930632870435,-0.37941484825,0.472450319825,0.5958125,16000
"m1_Finger___ClimbM.RunM","m1_Finger","b",4,"b",2,"difference",0.0346986347557039,0.204618119110289,-0.289945369345,0.35858151035,-0.366904887975,0.42986465725,0.5688125,16000
"m1_Finger.Eth___ClimbM.RunM","m1_Finger.Eth","b",4,"b",2,"difference",0.0997627143431798,0.200843950893458,-0.21904494382,0.4188977803,-0.29317783475,0.49883559175,0.6909375,16000
"m1_Finger.Stature___ClimbM.RunM","m1_Finger.Stature","b",4,"b",2,"difference",0.034020499347954,0.205656706264235,-0.29541078675,0.362579949445,-0.37828102175,0.43626258775,0.5668125,16000
"m1_Finger.Stature.Eth___ClimbM.RunM","m1_Finger.Stature.Eth","b",4,"b",2,"difference",0.0947262480918073,0.199456377388372,-0.22675954988,0.41350617665,-0.29815276225,0.48421537425,0.6886875,16000
"m1_Finger.HandLength___ClimbM.RunM","m1_Finger.HandLength","b",4,"b",2,"difference",0.0421336906156799,0.204828808418757,-0.28862735065,0.369159238437,-0.36177166715,0.4432909719,0.58125,16000
"m1_Finger.HandLength.Eth___ClimbM.RunM","m1_Finger.HandLength.Eth","b",4,"b",2,"difference",0.0951745606388603,0.197594776837224,-0.221459333275,0.411900507605,-0.29497194425,0.4850211912,0.687375,16000
"m1_Finger___ClimbF.RunF","m1_Finger","b",3,"b",1,"difference",-0.00071289757204889,0.221828416377512,-0.352274225875,0.350567543515,-0.432292067,0.431886701175,0.495,16000
"m1_Finger.Eth___ClimbF.RunF","m1_Finger.Eth","b",3,"b",1,"difference",0.0086905403882152,0.221942616525912,-0.349062088915,0.36676262611,-0.4253991998,0.445979807775,0.51625,16000
"m1_Finger.Stature___ClimbF.RunF","m1_Finger.Stature","b",3,"b",1,"difference",-0.00992944360593231,0.22339033241587,-0.36591660108,0.345520158625,-0.4434653143,0.42206938225,0.4823125,16000
"m1_Finger.Stature.Eth___ClimbF.RunF","m1_Finger.Stature.Eth","b",3,"b",1,"difference",-0.00486263605988363,0.219777282933583,-0.3530220639,0.34590230285,-0.43358947395,0.432391773525,0.4869375,16000
"m1_Finger.HandLength___ClimbF.RunF","m1_Finger.HandLength","b",3,"b",1,"difference",0.0116068161390055,0.22781948070119,-0.35337732583,0.379058090388,-0.4383515547775,0.4607141184,0.51875,16000
