Category,Subcategory,Species,Reference,Specimen,Location,Sex,Mass,Stature
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171416",Shanidar 3,Iraq,M,72.71245512,1664
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171417",Shanidar 4,Iraq,M,74.632,1625
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171418",Shanidar 5,Iraq,M,71.23,1636
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171419",Shanidar 6,Iraq,F,,1505
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171420",Shanidar 8,Iraq,F,,1592.9296
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171421",SDR-035+SDR-041,"Sidrón, Spain",M,,1604
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171422",SDR-054+SDR-055+SDR-056,"Sidrón, Spain",M,,1672
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171423",SDR-1609,"Sidrón, Spain",,82.57,
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171424",Fond-de-Foret 1,Belgium,,73.5,
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171425",La Chapelle-aux-Saints 1,France,M,81.6628,1625
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171426",Amud 1,Israel,M,72.1,1757
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171427",Kebara 2,Israel,M,72.4,1720
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171428",Kebara 9,Israel,F,,1579.6062
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171429",Regourdou 1,France,M?,64.42356158,1623
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171430",Regourdou 2,France,M,,1811.93384
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171431",Subalyuk 1,Hungary,F,,1604.5945
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171432",Liujiang 1,China,F,42.7,
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171433",Combe Grenal 30,France,,63.5,
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171434",Moula Guercy M-D2-587,France,,,1729.9882
Hominin,Homo,H. floresiensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171436",LB1,Indonesia,F,34.1,1042
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171437",Qafzeh 3,Israel,F,46.74776017,1648
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171438",Qafzeh 7,Israel,F,,1718
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171439",Qafzeh 8,Israel,M,59.89800354,1914
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171440",Qafzeh 9,Israel,F,64.426,1725
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171441",Klasies River (Mt I),South Africa,M,,1641.304
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171442",Klasies River (Mt II),South Africa,,,1785.817
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171443",Kiik-Koba 1,Russia,M,80.2,1627
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171444",Skhul 3,Israel,M,,1806
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171445",Skhul 4,Israel,M,72.364,1820
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171446",Skhul 5,Israel,M,76.9,1816
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171447",Skhul 6,Israel,M,68.962,1779
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171448",Skhul 7,Israel,F,57.93294706,1585
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171449",Skhul 9,Israel,M,73.9516,
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171450",Krapina 207,Croatia,M,66.0136,
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171451",Krapina 208,Croatia,,68.5084,
